Amino Acid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
A,310.6181818181818,1095.2872727272727,1158.2545454545455,1318.0945454545454,1623.2436363636364,2039.796363636364,2403.0690909090904,2732.4363636363637,3095.7090909090907,3570.385454545454,3914.2836363636366,4175.84,4606.923636363636,5008.945454545455,5401.28,5590.181818181819,5803.301818181819,6045.483636363636,6515.316363636363,6612.189090909091,6883.432727272727,6951.243636363636,7324.203636363636,7353.265454545454,7982.938181818182,8927.447272727273,14134.356363636363,14831.839999999998,15180.581818181818,15291.985454545455,17011.476363636364,17466.77818181818,18198.167272727274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,276.71272727272725,509.2072727272727,882.1672727272727,1017.789090909091,1226.0654545454545,1356.8436363636363,1657.1490909090908,2097.92,2369.163636363636,2766.3418181818183,3115.0836363636363,3366.9527272727278,3662.4145454545455,3841.629090909091,4127.403636363636,4248.494545454546,4602.08,5159.098181818182,5502.996363636364,5745.178181818182,5929.236363636364,6118.138181818182,6234.385454545455,6549.221818181818,6684.8436363636365,6883.432727272727,7149.832727272727,7939.345454545456,8961.352727272728,12981.57090909091,14085.92,15040.116363636364,15364.639999999998,17079.287272727273,17549.12,18188.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,237.96363636363637,359.05454545454546,441.3963636363636,765.9200000000001,1177.6290909090908,1429.4981818181818,1642.6181818181817,1787.9272727272728,2156.0436363636363,2383.6945454545453,2553.221818181818,2906.807272727273,3027.8981818181815,3216.8,3308.829090909091,3560.6981818181816,4185.527272727273,4258.181818181818,4408.334545454545,4621.454545454546,5130.036363636364,5527.214545454545,5696.7418181818175,5759.709090909091,5943.767272727272,6079.389090909091,6258.603636363637,6549.221818181818,6665.469090909091,6844.683636363637,6994.836363636364,7086.865454545454,7944.189090909092,8893.541818181819,8961.352727272728,14279.665454545455,14919.025454545455,15146.676363636365,17059.912727272727,17529.745454545453,18188.48,18203.010909090906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,116.87272727272727,218.58909090909088,334.83636363636367,514.050909090909,562.4872727272727,1061.3818181818183,1182.4727272727273,1206.6909090909091,1516.6836363636364,1894.4872727272727,2112.450909090909,2485.410909090909,2805.0909090909095,2921.338181818182,3071.4909090909096,3192.581818181818,3492.887272727273,3691.4763636363637,3894.909090909091,4117.716363636364,4345.367272727272,4568.174545454545,4708.64,4979.8836363636365,5149.41090909091,5464.247272727273,5561.12,5706.4290909090905,5929.236363636364,6103.607272727272,6224.698181818182,6345.789090909091,6525.003636363636,6636.407272727272,6718.749090909091,6776.872727272727,6917.3381818181815,7246.705454545454,7333.890909090909,8171.839999999999,8932.290909090909,8980.727272727272,14734.967272727274,14797.934545454546,14846.370909090909,15141.832727272727,15345.265454545453,16924.290909090912,17302.094545454544,18159.418181818182,18198.167272727274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,160.46545454545455,281.55636363636364,300.9309090909091,475.3018181818182,896.6981818181818,1187.3163636363638,1424.6545454545453,1448.8727272727274,1545.7454545454548,1749.1781818181819,2039.796363636364,2325.570909090909,2611.3454545454547,2887.4327272727273,2926.181818181818,3042.429090909091,3100.552727272727,3483.2000000000003,3696.32,3749.6000000000004,3890.0654545454545,4074.1236363636367,4185.527272727273,4209.745454545454,4495.52,4655.360000000001,4728.014545454545,4853.949090909091,4945.978181818182,5033.163636363636,5139.723636363636,5260.814545454546,5381.905454545455,5609.556363636364,5687.054545454545,5774.24,5875.956363636363,5972.829090909091,6069.7018181818175,6447.505454545455,6549.221818181818,6602.501818181818,6621.876363636363,6660.625454545455,6917.3381818181815,7251.549090909091,7275.767272727273,7479.200000000001,7968.407272727272,8041.061818181818,8074.967272727273,9053.381818181819,14734.967272727274,14967.461818181817,15059.490909090908,15369.483636363637,15398.545454545454,15451.825454545453,15490.574545454545,15548.698181818183,16929.134545454544,17369.905454545453,18203.010909090906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,339.68,1182.4727272727273,1424.6545454545453,2223.8545454545456,2654.938181818182,2940.7127272727275,3444.450909090909,4054.7490909090916,4151.6218181818185,4979.8836363636365,5289.876363636364,5561.12,6011.578181818181,6321.5709090909095,6636.407272727272,6975.461818181818,7309.672727272728,8070.123636363636,9014.632727272727,14221.541818181817,15117.614545454546,17001.789090909093,17437.716363636362,18212.69818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,150.77818181818182,378.4290909090909,407.4909090909091,635.1418181818182,1080.7563636363636,1356.8436363636363,1516.6836363636364,1584.4945454545455,1681.3672727272728,2039.796363636364,2466.0363636363636,2814.778181818182,3081.178181818182,3289.4545454545455,3512.2618181818184,3638.1963636363635,3686.632727272727,3909.4399999999996,4108.02909090909,4209.745454545454,4393.8036363636365,4563.330909090909,4761.92,4834.574545454546,4979.8836363636365,5440.029090909091,5512.683636363637,5599.869090909091,5619.243636363636,5754.865454545455,6147.2,6156.887272727273,6268.29090909091,6355.476363636363,6617.032727272727,6694.530909090909,6767.185454545455,6810.778181818182,6999.68,7251.549090909091,7358.109090909091,7861.847272727272,8128.247272727273,8941.978181818182,14536.378181818181,14768.872727272726,15180.581818181818,15752.130909090909,15795.723636363637,16938.82181818182,17273.032727272726,17340.84363636364,18178.792727272725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,271.8690909090909,305.7745454545455,417.17818181818177,741.7018181818182,1066.2254545454546,1104.9745454545455,1259.9709090909091,1361.6872727272728,1424.6545454545453,1540.901818181818,1773.3963636363635,1981.6727272727271,2117.294545454545,2630.72,3086.021818181818,3216.8,3696.32,3846.4727272727273,4108.02909090909,4166.152727272728,4369.585454545455,4708.64,4795.825454545455,4853.949090909091,5100.9745454545455,5236.596363636364,5469.090909090909,5599.869090909091,5628.930909090909,5774.24,6006.734545454546,6210.167272727273,6350.632727272727,6481.41090909091,6670.312727272727,6694.530909090909,6747.810909090908,6922.181818181819,6931.869090909091,6970.618181818182,7295.141818181817,7338.734545454546,7353.265454545454,7396.858181818183,7406.545454545454,8133.090909090909,8888.698181818183,14599.345454545455,14662.312727272725,14744.654545454545,14783.403636363637,14914.181818181818,15011.054545454544,15078.865454545454,15112.770909090912,15170.894545454545,16885.54181818182,17292.407272727272,18106.138181818184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,228.27636363636364,315.46181818181816,325.1490909090909,436.5527272727273,673.8909090909092,746.5454545454545,925.7600000000001,1119.5054545454545,1197.0036363636364,1458.56,1526.370909090909,1836.3636363636365,1909.0181818181818,2257.76,2562.9090909090905,2993.9927272727273,3192.581818181818,3628.509090909091,3667.258181818182,3807.723636363636,4141.9345454545455,4258.181818181818,4325.992727272727,4626.298181818182,4689.265454545455,4955.665454545454,5052.538181818181,5125.192727272727,5222.0654545454545,5333.4690909090905,5435.185454545454,5561.12,5706.4290909090905,6060.014545454545,6074.545454545455,6248.916363636363,6345.789090909091,6481.41090909091,6544.3781818181815,6558.909090909091,6670.312727272727,6791.403636363636,6810.778181818182,6854.370909090909,6922.181818181819,7266.080000000001,7290.298181818182,7329.047272727273,7406.545454545454,8123.403636363638,8166.996363636365,8922.603636363636,14565.44,14638.094545454545,14686.530909090909,14705.905454545455,14734.967272727274,14831.839999999998,14909.338181818179,14938.400000000001,15035.272727272726,16851.636363636364,16904.916363636366,17258.50181818182,17287.563636363637,18159.418181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,87.81090909090909,208.9018181818182,504.3636363636364,693.2654545454545,1114.6618181818183,1177.6290909090908,1206.6909090909091,1274.501818181818,1468.2472727272727,1671.68,1918.7054545454548,2083.3890909090906,2151.2000000000003,2601.658181818182,2974.618181818182,3148.989090909091,3609.134545454546,3928.8145454545456,4137.09090909091,4238.807272727273,4543.956363636364,4597.236363636363,4650.516363636363,4718.327272727272,4790.981818181818,5270.501818181819,5498.152727272727,5696.7418181818175,5759.709090909091,5817.832727272727,5958.298181818182,6258.603636363637,6389.381818181818,6520.16,6636.407272727272,6738.123636363636,6772.029090909091,6815.621818181818,6883.432727272727,6970.618181818182,7261.236363636363,7309.672727272728,7338.734545454546,7387.170909090909,7416.232727272727,8137.934545454545,8908.072727272727,14628.407272727272,14701.061818181817,14725.28,14812.465454545454,14856.058181818182,14967.461818181817,15025.585454545455,15059.490909090908,15078.865454545454,15117.614545454546,16953.35272727273,17350.53090909091,18173.949090909093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
